Number,Name,Collection,Stats,User,Low,Suggested,High,Current,Current(adjusted),Share(current),Free Bet,Parlay,Monthly,ROI(monthly),ROI(no shares)
6983,Table Tennis ,Sports Rollbots·$568,$2.05·$26·110%,RealLifeKyle,$928,$1.54K,$2.54K,$444,"=IFERROR(LEFT(I2,LEN(I2)-1)*10^(SEARCH(RIGHT(I2),""kmbt"")*3),I2)","=LEFT(D2,SEARCH(""·"",D2)-1)","=MID(D2,SEARCH(""·"",D2)+2,SEARCH(""·"",D2,SEARCH(""·"",D2)+1)-SEARCH(""·"",D2)-2)","=RIGHT(D2,4)",=K2+0.6*L2,=J2/N2,=J2/(0.6*L2)
5842,MMA ,Sports Rollbots·$568,$1.41·$22·103%,ZackC.eth,$704,$1.13K,$1.81K,$448,"=IFERROR(LEFT(I3,LEN(I3)-1)*10^(SEARCH(RIGHT(I3),""kmbt"")*3),I3)","=LEFT(D3,SEARCH(""·"",D3)-1)","=MID(D3,SEARCH(""·"",D3)+2,SEARCH(""·"",D3,SEARCH(""·"",D3)+1)-SEARCH(""·"",D3)-2)","=RIGHT(D3,4)",=K3+0.6*L3,=J3/N3,=J3/(0.6*L3)
1958,Formula 1 ,Sports Rollbots·$568,$1.2·$20·102%,ZackC.eth,$675,$1.08K,$1.72K,$448,"=IFERROR(LEFT(I4,LEN(I4)-1)*10^(SEARCH(RIGHT(I4),""kmbt"")*3),I4)","=LEFT(D4,SEARCH(""·"",D4)-1)","=MID(D4,SEARCH(""·"",D4)+2,SEARCH(""·"",D4,SEARCH(""·"",D4)+1)-SEARCH(""·"",D4)-2)","=RIGHT(D4,4)",=K4+0.6*L4,=J4/N4,=J4/(0.6*L4)
506,Rocket League ,Sports Rollbots·$568,$3.32·$22·101%,ZackC.eth,$674,$1.08K,$1.72K,$448,"=IFERROR(LEFT(I5,LEN(I5)-1)*10^(SEARCH(RIGHT(I5),""kmbt"")*3),I5)","=LEFT(D5,SEARCH(""·"",D5)-1)","=MID(D5,SEARCH(""·"",D5)+2,SEARCH(""·"",D5,SEARCH(""·"",D5)+1)-SEARCH(""·"",D5)-2)","=RIGHT(D5,4)",=K5+0.6*L5,=J5/N5,=J5/(0.6*L5)
1415,Soccer ,Sports Rollbots·$568,$4.51·$22·103%,ZackC.eth,$700,$1.12K,$1.8K,$448,"=IFERROR(LEFT(I6,LEN(I6)-1)*10^(SEARCH(RIGHT(I6),""kmbt"")*3),I6)","=LEFT(D6,SEARCH(""·"",D6)-1)","=MID(D6,SEARCH(""·"",D6)+2,SEARCH(""·"",D6,SEARCH(""·"",D6)+1)-SEARCH(""·"",D6)-2)","=RIGHT(D6,4)",=K6+0.6*L6,=J6/N6,=J6/(0.6*L6)
4703,Ice Hockey ,Sports Rollbots·$568,$8.93·$22·101%,ZackC.eth,$653,$1.04K,$1.65K,$448,"=IFERROR(LEFT(I7,LEN(I7)-1)*10^(SEARCH(RIGHT(I7),""kmbt"")*3),I7)","=LEFT(D7,SEARCH(""·"",D7)-1)","=MID(D7,SEARCH(""·"",D7)+2,SEARCH(""·"",D7,SEARCH(""·"",D7)+1)-SEARCH(""·"",D7)-2)","=RIGHT(D7,4)",=K7+0.6*L7,=J7/N7,=J7/(0.6*L7)
6554,League of Legends ,Sports Rollbots·$568,$1.38·$24·102%,ZackC.eth,$682,$1.09K,$1.74K,$448,"=IFERROR(LEFT(I8,LEN(I8)-1)*10^(SEARCH(RIGHT(I8),""kmbt"")*3),I8)","=LEFT(D8,SEARCH(""·"",D8)-1)","=MID(D8,SEARCH(""·"",D8)+2,SEARCH(""·"",D8,SEARCH(""·"",D8)+1)-SEARCH(""·"",D8)-2)","=RIGHT(D8,4)",=K8+0.6*L8,=J8/N8,=J8/(0.6*L8)
8544,FIFA ,Sports Rollbots·$568,$6.15·$24·105%,WatchGamesTV,$775,$1.26K,$2.04K,$449,"=IFERROR(LEFT(I9,LEN(I9)-1)*10^(SEARCH(RIGHT(I9),""kmbt"")*3),I9)","=LEFT(D9,SEARCH(""·"",D9)-1)","=MID(D9,SEARCH(""·"",D9)+2,SEARCH(""·"",D9,SEARCH(""·"",D9)+1)-SEARCH(""·"",D9)-2)","=RIGHT(D9,4)",=K9+0.6*L9,=J9/N9,=J9/(0.6*L9)
4845,Volleyball ,Sports Rollbots·$568,$3.15·$38·103%,WatchGamesTV,$758,$1.23K,$1.98K,$449,"=IFERROR(LEFT(I10,LEN(I10)-1)*10^(SEARCH(RIGHT(I10),""kmbt"")*3),I10)","=LEFT(D10,SEARCH(""·"",D10)-1)","=MID(D10,SEARCH(""·"",D10)+2,SEARCH(""·"",D10,SEARCH(""·"",D10)+1)-SEARCH(""·"",D10)-2)","=RIGHT(D10,4)",=K10+0.6*L10,=J10/N10,=J10/(0.6*L10)
9969,Volleyball ,Sports Rollbots·$568,$3.15·$32·112%,WatchGamesTV,$1.01K,$1.68K,$2.8K,$449,"=IFERROR(LEFT(I11,LEN(I11)-1)*10^(SEARCH(RIGHT(I11),""kmbt"")*3),I11)","=LEFT(D11,SEARCH(""·"",D11)-1)","=MID(D11,SEARCH(""·"",D11)+2,SEARCH(""·"",D11,SEARCH(""·"",D11)+1)-SEARCH(""·"",D11)-2)","=RIGHT(D11,4)",=K11+0.6*L11,=J11/N11,=J11/(0.6*L11)
